Date	AUD
2019-05-04	-0.155205846691
2019-05-05	-0.155334343958
2019-05-06	-1.02059643497
2019-05-07	1.17019574975
2019-05-08	1.26503390141
2019-05-09	3.39134048268
2019-05-10	1.64550597484
2019-05-11	1.58949339087
2019-05-12	1.53326318935
2019-05-13	1.51537207177
2019-05-14	-0.181206686535
2019-05-15	-0.118060116178
2019-05-16	1.27662200783
2019-05-17	2.8421159061
2019-05-18	2.85400235838
2019-05-19	2.8431521797
2019-05-20	2.54362881891
2019-05-21	2.54023554799
2019-05-22	2.41076867244
2019-05-23	2.36674292246
2019-05-24	2.31147852931
2019-05-25	2.62044426532
2019-05-26	2.46289716738
2019-05-27	0.82610412257
2019-05-28	0.644042723455
2019-05-29	-0.569802448719
2019-05-30	-0.301086424276
2019-05-31	-0.358051837289
2019-06-01	-0.562825396603
2019-06-02	-0.529661560183
2019-06-03	-1.10568237204
2019-06-04	-0.935203534745
2019-06-05	-0.597614829855
2019-06-06	-1.275660516
2019-06-07	-0.638423295919
2019-06-08	-0.962610731453
2019-06-09	-1.05972817896
2019-06-10	-0.640986581488
2019-06-11	-0.798961136864
2019-06-12	-0.756874572694
2019-06-13	-0.759589470511
2019-06-14	
2019-06-15	
2019-06-16	
2019-06-17	-0.499523199031
2019-06-18	-0.393929501281
2019-06-19	-0.515970671682
2019-06-20	1.57562528309
2019-06-21	1.56827520474
2019-06-22	1.38124465377
2019-06-23	1.3677144143
2019-06-24	3.49586094787
2019-06-25	3.4553077808
2019-06-26	3.4625167212
2019-06-27	4.13688837336
2019-06-28	3.31434421031
2019-06-29	3.45341467275
2019-06-30	3.98341563425
2019-07-01	3.90685052947
2019-07-02	4.11966091792
2019-07-03	4.22289159989
2019-07-04	4.34805831688
2019-07-05	5.07718802774
2019-07-06	5.05048927904
2019-07-07	4.8702793319
2019-07-08	4.9585836013
2019-07-09	
2019-07-10	
2019-07-11	
2019-07-12	-0.415876289788
2019-07-13	-0.752785313275
2019-07-14	0.759637307796
2019-07-15	0.709259223947
2019-07-16	0.730440370835
2019-07-17	1.5301602914
2019-07-18	1.54761039719
2019-07-19	2.25795032031
2019-07-20	2.70211328398
2019-07-21	2.74293142059
2019-07-22	2.77946787997
2019-07-23	2.65177527327
2019-07-24	1.85371357786
2019-07-25	
2019-07-26	
2019-07-27	
2019-07-28	
2019-07-29	-0.330729918967
2019-07-30	-0.73344063369
2019-07-31	-0.841031567069
2019-08-01	0.455243178145
2019-08-02	0.485938683187
2019-08-03	0.290225575321
2019-08-04	0.46159001077
2019-08-05	1.20844215002
2019-08-06	1.93723020367
2019-08-07	1.48801263641
2019-08-08	1.03878341489
2019-08-09	1.11182584514
2019-08-10	1.80914724069
2019-08-11	1.75262191204
2019-08-12	0.866295043398
2019-08-13	0.777704111472
2019-08-14	1.95760978727
2019-08-15	
2019-08-16	
2019-08-17	
2019-08-18	
2019-08-19	
2019-08-20	
2019-08-21	0.401013562287
2019-08-22	0.459068300651
2019-08-23	0.580093599212
2019-08-24	0.673444706326
2019-08-25	1.47883586155
2019-08-26	1.58939312911
2019-08-27	2.24281280346
2019-08-28	2.59643602975
2019-08-29	2.57883923504
2019-08-30	3.19765841505
2019-08-31	3.00787825375
2019-09-01	3.03356416586
2019-09-02	3.55136342837
2019-09-03	2.86721548892
2019-09-04	3.81063764088
2019-09-05	2.12198759498
2019-09-06	2.13044411048
2019-09-07	1.97400318501
2019-09-08	1.98104813548
2019-09-09	1.14171785547
2019-09-10	1.02994488682
2019-09-11	0.0825143387779
2019-09-12	0.503068747506
2019-09-13	0.509526608247
2019-09-14	0.944474170595
2019-09-15	0.943197028822
2019-09-16	2.10975330311
2019-09-17	2.00064309043
2019-09-18	1.4352763383
2019-09-19	1.95154895251
2019-09-20	1.99142285888
2019-09-21	1.79659649326
2019-09-22	1.96256425135
2019-09-23	0.754601022663
2019-09-24	-0.232893039901
2019-09-25	-1.81374326068
2019-09-26	-1.97094224196
2019-09-27	-2.00634017401
2019-09-28	-1.70083433744
2019-09-29	0.737583455847
2019-09-30	0.702589019593
2019-10-01	0.719101260561
2019-10-02	3.16528406557
2019-10-03	3.2704039338
2019-10-04	3.36004792264
2019-10-05	3.23813253005
2019-10-06	
2019-10-07	
2019-10-08	0.913016385504
2019-10-09	0.704812041021
